胡豆	蚕豆
她不喜欢足球	她不喜欢足球
她浑身湿透老	她浑身湿透了
她有大量的书	她有大量的书
她现在正在吃午餐	她现在正在吃午餐
她不总是高兴	她不总是高兴
她立刻喜欢上他老	她立刻喜欢上他了
她的生活很寂寞	她的生活很寂寞
她一定是生病老	她一定是生病了
她说她感冒老	她说她感冒了
她给我看她的相簿	她给我看她的相簿
她日语说的很好	她日语说的很好
她照顾老我的狗	她照顾了我的狗
她现在老解你	她现在了解你
她生在美洲	她生在美洲
她穿着羊毛衣	她穿着羊毛衣
她英语说得很流利	她英语说得很流利
再给我举个例子	再给我举个例子
那你会给我啥子	那你会给我什么
有人在看着你	有人在看着你
有人呼救	有人呼救
你有时候真走运	你有时候真走运
别管我的事	别管我的事
雪梨离这里很远	雪梨离这里很远
拿本书读	拿本书读
拿你想要的	拿你想要的
那改变老一切	那改变了一切
这莫得任何意义	这没有任何意义
那家工厂生产玩具	那家工厂生产玩具
那一个真好	那一个真好
那条河是危险的	那条河是危险的
这是三天之前老	这是三天之前了
那就是你不是么	那就是你不是么
那天我不行	那天我不行
那是绝对正确的	那是绝对正确的
那是原创的想法	那是原创的想法
宝宝开始哭老	宝宝开始哭了
铃声在八点钟响起	铃声在八点钟响起
盒子几乎是空的	盒子几乎是空的
这个男孩害怕黑夜	这个男孩害怕黑夜
蝴蝶飞走老	蝴蝶飞走了
猫抓住老老鼠	猫抓住了老鼠
契约签订老	契约签订了
信写完老	信写完了
这个男人在吃面包	这个男人在吃面包
月亮已经出来老	月亮已经出来了
那音乐声音十分响	那音乐声音十分响
这消息让她很高兴	这消息让她很高兴
晚会很成功	晚会很成功
警察醉老	警察醉了
蛇诱惑老夏娃	蛇诱惑了夏娃
床单在床上	床单在床上
五和三的总和是八	五和三的总和是八
厕所塞住老	厕所塞住了
水结成冰老	水结成冰了
少一把叉子	少一把叉子
有后门	有后门
脏袜子散发臭气	脏袜子散发臭气
他们总是逃学	他们总是逃学
他们是仇敌	他们是仇敌
他们改变老制度	他们改变了制度
他们莫得立刻行动	他们没有立刻行动
他们不需要知道	他们不需要知道
他们释放老犯人	他们释放了犯人
他们昨天到这里的	他们昨天到这里的
他们下老车	他们下了车
他们嘲笑我的想法	他们嘲笑我的想法
他们生活得很幸福	他们生活得很幸福
他们慢慢地向前进	他们慢慢地向前进
他们要输老	他们要输了
他们会明白	他们会明白
他们自给自足	他们自给自足
他们还在波士顿	他们还在波士顿
这个苹果太小	这个苹果太小
这本书真的很旧	这本书真的很旧
这本书非常厚	这本书非常厚
这本字典是我的	这本字典是我的
这份设计很蠢	这份设计很蠢
这真可怕	这真可怕
这只火鸡味道很好	这只火鸡味道很好
这个能保暖	这个能保暖
那些花已经枯死老	那些花已经枯死了
那些花死老	那些花死了
现在售票	现在售票
汤姆和我是队友	汤姆和我是队友
汤姆不能原谅玛丽	汤姆不能原谅玛丽
汤姆决定不再等老	汤姆决定不再等了
汤姆没跟玛丽说话	汤姆没跟玛丽说话
汤姆不想来	汤姆不想来
汤姆不喜欢波士顿	汤姆不喜欢波士顿
汤姆不喜欢乳酪	汤姆不喜欢乳酪
Tom有台靓车	Tom有台靓车
汤姆还没完成	汤姆还没完成
汤姆向门走切	汤姆向门走去
汤姆有点担心	汤姆有点担心
汤姆是个怪人	汤姆是个怪人
汤姆是小提琴教师	汤姆是小提琴教师
汤姆要帮助我们	汤姆要帮助我们
汤姆在读一篇短文	汤姆在读一篇短文
汤姆在休一天假	汤姆在休一天假
汤姆比我高	汤姆比我高
汤姆在看影片	汤姆在看影片
汤姆不是好人	汤姆不是好人
汤姆不是个好工人	汤姆不是个好工人
汤姆昨晚差点死老	汤姆昨晚差点死了
汤姆需要鼓励	汤姆需要鼓励
汤姆没再见过她	汤姆没再见过她
汤姆拿起老刀	汤姆拿起了刀
汤姆和他的狗玩	汤姆和他的狗玩
汤姆放下他的铅笔	汤姆放下他的铅笔
汤姆跑得比我快	汤姆跑得比我快
汤姆坐在老树干上	汤姆坐在了树干上
汤姆说他很有钱	汤姆说他很有钱
汤姆应该很快就到	汤姆应该很快就到
汤姆认为有希望	汤姆认为有希望
汤姆晚餐迟到老	汤姆晚餐迟到了
汤姆的手在颤动	汤姆的手在颤动
明天是我生日	明天是我生日
试着不要哭	试着不要哭
把火转小一点	把火转小一点
我们买老张圆桌	我们买了张圆桌
我们没把它带回来	我们没把它带回来
我根本不需要这个	我根本不需要这个
我们不住在波士顿	我们不住在波士顿
我们有很多听众	我们有很多听众
我们明天有个测验	我们明天有个测验
我们让他养狗	我们让他养狗
我们点老中餐	我们点了中餐
我们最好叫醒汤姆	我们最好叫醒汤姆
我们在跟日本打仗	我们在跟日本打仗
我们今晚出切	我们今晚出去
我们在看着你	我们在看着你
昨晚你出切老吗	昨晚你出去了吗
我说的是真的	我说的是真的
多漂亮的花啊	多漂亮的花啊
多美好的家庭啊	多美好的家庭啊
你在这里做啥子	你在这里做什么
你觉得啷个样	你觉得怎么样
你要它干啥子	你要它干什么
他到底想干嘛	他到底想干嘛
那听起来像啥子	那听起来像什么
我要失切啥子	我要失去什么
你的房子如何	你的房子如何
你喜欢啥子运动	你喜欢什么运动
你在那里做啥子呢	你在那里做什么呢
汤姆的血型是甚么	汤姆的血型是甚么
那只鸟叫啥子名字	那只鸟叫什么名字
天气啷个样	天气怎么样
你啥子时候要回家	你什么时候要回家
你啥子时候上班	你什么时候上班
你现在在哪里	你现在在哪里
我能在哪里洗澡	我能在哪里洗澡
你想切哪里	你想去哪里
你们要切哪里	你们要去哪里
她现在住在哪儿	她现在住在哪儿
餐厅在哪里	餐厅在哪里
你在等哪个	你在等谁
你认为我们是哪个	你认为我们是谁
还有哪个知道它	还有谁知道它
还有哪个用这个房间	还有谁用这个房间
哪个要热巧克力	谁要热巧克力
你跟哪个说话呢	你跟谁说话呢
哪个写老这些故事	谁写了这些故事
哪个担心汤姆	谁担心汤姆
为甚么汤姆没被捕	为甚么汤姆没被捕
我明天能见到你吗	我明天能见到你吗
汤姆真要做吗	汤姆真要做吗
优胜者不使用药物	优胜者不使用药物
你能帮我一个忙吗	你能帮我一个忙吗
你和我一样高	你和我一样高
你随时可以回家	你随时可以回家
你将伴我同行	你将伴我同行
你们不再是小孩老	你们不再是小孩了
你现在可以删除它	你现在可以删除它
你现在可以开始老	你现在可以开始了
你不能靠汤姆	你不能靠汤姆
你不能有秘密	你不能有秘密
您不知道我是哪个	您不知道我是谁
你看来不大高兴	你看来不大高兴
你不必着急	你不必着急
你恨汤姆不是么	你恨汤姆不是么
你的眼睛真漂亮	你的眼睛真漂亮
你有着漂亮的腿	你有着漂亮的腿
你做得很好	你做得很好
你有足够的时间	你有足够的时间
你看起来很威严	你看起来很威严
你应该自己做	你应该自己做
您必须预先付钱	您必须预先付钱
你一定睡着老	你一定睡着了
你或者我会被选中	你或者我会被选中
你不应该出门	你不应该出门
你应该检查一哈	你应该检查一下
你应该很快那样做	你应该很快那样做
你应该亲自切	你应该亲自去
你本应该这样做的	你本应该这样做的
您本应该看看它的	您本应该看看它的
你不应该一个人切	你不应该一个人去
你应该戒菸	你应该戒菸
你应该切看医生	你应该去看医生
你应该更努力学习	你应该更努力学习
你不应该在这里等	你不应该在这里等
你游泳游得比我好	你游泳游得比我好
你最好尽快切做	你最好尽快去做
你最好不要出门	你最好不要出门
你晚一会就能明白	你晚一会就能明白
你完全正确	你完全正确
你开得太快老	你开得太快了
你真的很漂亮	你真的很漂亮
你真是太好老	你真是太好了
你是退出的那个	你是退出的那个
你鬼点子真多	你鬼点子真多
你已经把蛋糕吃老	你已经把蛋糕吃了
你的穿着非常好	你的穿着非常好
你太太在生你的气	你太太在生你的气
灯泡发光	灯泡发光
一年有十二个月	一年有十二个月
加一丁点盐	加一丁点盐
我只要自由	我只要自由
他们都不穷	他们都不穷
能让我用这个吗	能让我用这个吗
欢迎作任何评论	欢迎作任何评论
这些是你的女儿吗	这些是你的女儿吗
你下周来吗	你下周来吗
你是在找工作吗	你是在找工作吗
你在找工作吗	你在找工作吗
你身体不舒服吗	你身体不舒服吗
你在研读英语吗	你在研读英语吗
你在写信吗	你在写信吗
请你父亲帮你	请你父亲帮你
公车最终停老下来	公车最终停了下来
大鱼吃小鱼	大鱼吃小鱼
面包是面粉做的	面包是面粉做的
我能在这里拍照吗	我能在这里拍照吗
你能等一哈吗	你能等一下吗
你能待一会吗	你能待一会吗
当然她是正确的	当然她是正确的
奶酪是用奶做成的	奶酪是用奶做成的
显然的你错老	显然的你错了
明天来看看我	明天来看看我
尽早来	尽早来
进来门是开的	进来门是开的
你能载汤姆回家吗	你能载汤姆回家吗
爸爸给我买老书	爸爸给我买了书
汤姆感兴趣吗	汤姆感兴趣吗
你听见我说的老吗	你听见我说的了吗
你之前知道那个吗	你之前知道那个吗
你有时间再做吧	你有时间再做吧
我们的椅子够吗	我们的椅子够吗
你相信有幽灵吗	你相信有幽灵吗
你相信鬼存在吗	你相信鬼存在吗
你相信有鬼魂吗	你相信有鬼魂吗
你感觉轻松吗	你感觉轻松吗
你有字典吗	你有字典吗
你身上有铅笔吗	你身上有铅笔吗
你有红色的铅笔吗	你有红色的铅笔吗
你有多馀的钥匙吗	你有多馀的钥匙吗
你的钱够吗	你的钱够吗
你有很多朋友吗	你有很多朋友吗
你有其他家人吗	你有其他家人吗
你会跳舞吗	你会跳舞吗
你知道我住哪吗	你知道我住哪吗
你知道他们是哪个吗	你知道他们是谁吗
你喜欢草莓吗	你喜欢草莓吗
你喜欢吃水果吗	你喜欢吃水果吗
你需要救护车吗	你需要救护车吗
你打算出国吗	你打算出国吗
你真的需要车吗	你真的需要车吗
你认为它是陷阱吗	你认为它是陷阱吗
你会法语	你会法语
你想要伙伴吗	你想要伙伴吗
别让他们忘老我	别让他们忘了我
不要取笑人	不要取笑人
不要在这里打棒球	不要在这里打棒球
现在别想这事	现在别想这事
不用担心其他人	不用担心其他人
你莫得钱吗	你没有钱吗
你不想出切吗	你不想出去吗
数十人仍然失踪	数十人仍然失踪
教育从家庭开始	教育从家庭开始
英语简单易学	英语简单易学
连小孩儿都会做	连小孩儿都会做
全都靠它老	全都靠它了
火是非常危险的	火是非常危险的
火总是危险的	火总是危险的
第一印象很重要	第一印象很重要
食物不该被浪费	食物不该被浪费
给我一瓶葡萄酒	给我一瓶葡萄酒
给我点东西吃	给我点东西吃
请给我同样的东西	请给我同样的东西
爷爷买给我的	爷爷买给我的
你看过飞碟吗	你看过飞碟吗
我以前没见过你吗	我以前没见过你吗
他已经意识到它老	他已经意识到它了
他总是遵守诺言	他总是遵守诺言
我和他一起走	我和他一起走
他表现的像个疯子	他表现的像个疯子
他切年八月回来的	他去年八月回来的
他抓住老她的胳膊	他抓住了她的胳膊
他裁开老那个信封	他裁开了那个信封
他不顾我的忠告	他不顾我的忠告
他喝老一杯咖啡	他喝了一杯咖啡
昨天他喝老很多	昨天他喝了很多
他已经吃过午饭老	他已经吃过午饭了
他一点礼貌也莫得	他一点礼貌也没有
他急于要见你	他急于要见你
他武装到牙齿	他武装到牙齿
他坏透老	他坏透了
他跳上老桌子	他跳上了桌子
他认识很多人	他认识很多人
他非常喜欢音乐	他非常喜欢音乐
他喜欢独自旅行	他喜欢独自旅行
他住在我们隔壁	他住在我们隔壁
他照顾孩子	他照顾孩子
他可能迷路老	他可能迷路了
他可能会改变心意	他可能会改变心意
他一定是校长	他一定是校长
他常常走路切学校	他常常走路去学校
他吉他弹得很好	他吉他弹得很好
他非常喜欢棒球	他非常喜欢棒球
他拒绝相信我们	他拒绝相信我们
他很少切教堂	他很少去教堂
他昨晚睡得很好	他昨晚睡得很好
他研究老十年	他研究了十年
他游过老河	他游过了河
他自学法语	他自学法语
他感谢我的到来	他感谢我的到来
他切欧洲旅行老	他去欧洲旅行了
他脱掉老大衣	他脱掉了大衣
他拿出老他的护照	他拿出了他的护照
他试图自杀	他试图自杀
他以前是个好男孩	他以前是个好男孩
他走过这栋房子	他走过这栋房子
他想要切非洲	他想要去非洲
他被控告杀人罪	他被控告杀人罪
他被选为总统	他被选为总统
他那时正在弹钢琴	他那时正在弹钢琴
他被车辗过老	他被车辗过了
他是第一个来的	他是第一个来的
他一整天都很忙	他一整天都很忙
他忙老一整天	他忙了一整天
他坐汽车到波士顿	他坐汽车到波士顿
他边走边吹口哨	他边走边吹口哨
明天他会回来	明天他会回来
他明天会很忙	他明天会很忙
他明天有空	他明天有空
他不会听我的	他不会听我的
昨天他写信给我	昨天他写信给我
他会很高兴见到你	他会很高兴见到你
他的性情古怪	他的性情古怪
他切过体育馆	他去过体育馆
他对你非常生气	他对你非常生气
他非常擅长吉他	他非常擅长吉他
帮我抬起这包裹	帮我抬起这包裹
这是你的信	这是你的信
这儿有你的一封信	这儿有你的一封信
他的新车很棒	他的新车很棒
打网球啷个样	打网球怎么样
那啷个可能	那怎么可能
你们啷个读这个词	你们怎么读这个词
你的家庭有多大	你的家庭有多大
你有多少张CD	你有多少张CD
那里有多少队伍	那里有多少队伍
公车票价多少钱	公车票价多少钱
过老多长时间	过了多长时间
您多久见他一次	您多久见他一次
那幅画有多少年老	那幅画有多少年了
你的兄弟多高	你的兄弟多高
你老解汤姆多少	你了解汤姆多少
我承认他是对的	我承认他是对的
我同意你的建议	我同意你的建议
我同意他的观点	我同意他的观点
我同意这项建议	我同意这项建议
我几乎钓到老鱼	我几乎钓到了鱼
我几乎莫得遇见她	我几乎没有遇见她
我对音乐有兴趣	我对音乐有兴趣
我一切都很好	我一切都很好
我昨天到这里的	我昨天到这里的
我让汤姆在这里等	我让汤姆在这里等
我请他在这里等	我请他在这里等
我八点钟吃老早餐	我八点钟吃了早餐
我打赌他没搞定	我打赌他没搞定
我买老一双鞋子	我买了一双鞋子
我来感谢你	我来感谢你
我跟不上汤姆	我跟不上汤姆
我无法跟上你	我无法跟上你
莫得你我活不下切	没有你我活不下去
我承认我很累	我承认我很累
我应该告诉过你老	我应该告诉过你了
我决定当个医生老	我决定当个医生了
我不知道要做啥子	我不知道要做什么
我不知道该啷个办	我不知道该怎么办
我不是故意那样做	我不是故意那样做
我不在乎是否下雪	我不在乎是否下雪
我吃不下鸡皮	我吃不下鸡皮
我莫得敌人	我没有敌人
我莫得姐妹	我没有姐妹
我不知道他的地址	我不知道他的地址
我不知道说啥子	我不知道说什么
我不常笑	我不常笑
我不喜欢吃肉老	我不喜欢吃肉了
我不喜欢那件夹克	我不喜欢那件夹克
我再也不喜欢你老	我再也不喜欢你了
我不再爱你老	我不再爱你了
辣点儿没关系	辣点儿没关系
我不认为他会来的	我不认为他会来的
我不懂音乐	我不懂音乐
我不想听解释	我不想听解释
我不想独自前往	我不想独自前往
我不想失切你	我不想失去你
我不想伤害你	我不想伤害你
我怀疑汤姆是单身	我怀疑汤姆是单身
我想再来一杯啤酒	我想再来一杯啤酒
我今天感觉好多老	我今天感觉好多了
我每天上教堂	我每天上教堂
周日我切做礼拜	周日我去做礼拜
我也在这儿上学	我也在这儿上学
我上错老火车	我上错了火车
昨天我很早起床	昨天我很早起床
我在乡下长大	我在乡下长大
我要打几个电话	我要打几个电话
我把麦克风递给他	我把麦克风递给他
我有个坏消息	我有个坏消息
我有很多功课	我有很多功课
我对你有信心	我对你有信心
我今天莫得功课	我今天没有功课
我必须睡一哈觉	我必须睡一下觉
我必须到银行切	我必须到银行去
我听说汤姆被捕老	我听说汤姆被捕了
我帮她洗碗	我帮她洗碗
我希望他会等我	我希望他会等我
我知道他在看着我	我知道他在看着我
我知道啷个设陷阱	我知道怎么设陷阱
我对她一无所知	我对她一无所知
我知道你是对的	我知道你是对的
我知道你在做啥子	我知道你在做什么
我非常喜欢英语	我非常喜欢英语
我喜欢在队伍里	我喜欢在队伍里
我喜欢弹钢琴	我喜欢弹钢琴
我喜欢跟汤姆购物	我喜欢跟汤姆购物
我喜欢做我的作业	我喜欢做我的作业
我喜欢乘坐火车	我喜欢乘坐火车
我在车站遇见他	我在车站遇见他
我见到老王子真人	我见到了王子真人
我常常切看电影	我常常去看电影
我欠她10美元	我欠她10美元
我保证我会来	我保证我会来
我提供老他食物	我提供了他食物
我昨晚读书	我昨晚读书
我真喜欢这故事	我真喜欢这故事
我收到老一张请帖	我收到了一张请帖
我看见她进老房间	我看见她进了房间
我本不应该做的	我本不应该做的
我今天签老租约	我今天签了租约
我立刻打电话给她	我立刻打电话给她
我认为我犯老个错	我认为我犯了个错
我想我要哭老	我想我要哭了
我认为我做得够老	我认为我做得够了
我认为汤姆很酷	我认为汤姆很酷
我认为它不会成功	我认为它不会成功
我认为我们有麻烦	我认为我们有麻烦
我觉得您过火老	我觉得您过火了
我试着叫汤姆回来	我试着叫汤姆回来
我明白这概念	我明白这概念
我曾经像猪一样吃	我曾经像猪一样吃
我通常走切学校	我通常走去学校
我想让汤姆进监狱	我想让汤姆进监狱
我想要本好词典	我想要本好词典
我想要一点柳橙汁	我想要一点柳橙汁
我要些读的东西	我要些读的东西
我要相信汤姆	我要相信汤姆
我想预定一个房间	我想预定一个房间
我想给她一个惊喜	我想给她一个惊喜
我被外星人绑架老	我被外星人绑架了
我怕我会迟到	我怕我会迟到
我被要求在这里等	我被要求在这里等
我知道事实	我知道事实
我在冬天出生	我在冬天出生
我昨天在东京	我昨天在东京
她不在我很孤独	她不在我很孤独
我等着出租车	我等着出租车
我会出席会议的	我会出席会议的
我会跟她解释的	我会跟她解释的
我将要切参加会议	我将要去参加会议
我不会吃冰淇淋	我不会吃冰淇淋
我会尽快写信给你	我会尽快写信给你
我明天不在这儿	我明天不在这儿
我如果能做就做老	我如果能做就做了
我想要果汁	我想要果汁
我愿意帮你	我愿意帮你
我回家比较好	我回家比较好
我想要一杯柳橙汁	我想要一杯柳橙汁
我想要切伦敦	我想要去伦敦
我想看医生	我想看医生
我要看病	我要看病
我希望你切那里	我希望你去那里
我以前从未过它	我以前从未过它
我非常想离开	我非常想离开
我要暂时离开	我要暂时离开
我马上到那里	我马上到那里
我会给你带些咖啡	我会给你带些咖啡
我会给你这笔钱	我会给你这笔钱
我再也不会见她老	我再也不会见她了
我怕它是行不通的	我怕它是行不通的
我饿得像匹马	我饿得像匹马
我跟我父亲一样高	我跟我父亲一样高
我爱足球爱疯老	我爱足球爱疯了
我很高兴见到你	我很高兴见到你
真高兴有人告诉我	真高兴有人告诉我
很高兴再见到您	很高兴再见到您
很高兴再见到你	很高兴再见到你
我要坐下	我要坐下
我要告诉汤姆	我要告诉汤姆
我打算洗个澡	我打算洗个澡
我将切取我的车	我将去取我的车
我正在学如何打字	我正在学如何打字
我不是个母语者	我不是个母语者
我不想要问他	我不想要问他
我甚么也没找到	我甚么也没找到
我莫得向波士顿走	我没有向波士顿走
我只想到你	我只想到你
我现在正在踢足球	我现在正在踢足球
我对此负有责任	我对此负有责任
我没主意老	我没主意了
我住在我姑姑家	我住在我姑姑家
我厌倦老翻译	我厌倦了翻译
我喝醉老做不到	我喝醉了做不到
我现在很累	我现在很累
我以前被骗过	我以前被骗过
我已经做够老	我已经做够了
汤姆是个好人吗	汤姆是个好人吗
那就是它的叫法吗	那就是它的叫法吗
波士顿有动物园吗	波士顿有动物园吗
有它的应用吗	有它的应用吗
这条鱼还是活的吗	这条鱼还是活的吗
它属于我兄弟	它属于我兄弟
这啥子都说明不老	这什么都说明不了
那不真的重要	那不真的重要
它自动地发生老	它自动地发生了
可惜这是真的	可惜这是真的
说谎是错误的	说谎是错误的
这一定是个巧合	这一定是个巧合
这真的能派上用场	这真的能派上用场
看来他很快乐	看来他很快乐
它是由汤姆发现的	它是由汤姆发现的
这正如我想的一样	这正如我想的一样
它是基本人权	它是基本人权
有比莫得好	有比没有好
今天很热不是吗	今天很热不是吗
帮助你是我的责任	帮助你是我的责任
还没啷个准备好	还没怎么准备好
外面一片漆黑	外面一片漆黑
已经六点钟老	已经六点钟了
是时候洗个澡老	是时候洗个澡了
请相信我的话	请相信我的话
记好老这教训	记好了这教训
让他弹你的吉他	让他弹你的吉他
让我看一哈你的票	让我看一下你的票
让我跟汤姆说明	让我跟汤姆说明
让我给你说明	让我给你说明
让我看看它	让我看看它
让我给你沏茶	让我给你沏茶
让我思考一哈	让我思考一下
改天再说吧	改天再说吧
再找时间吧	再找时间吧
让我们再聚在一起	让我们再聚在一起
我们别自骗自老	我们别自骗自了
让我们休息一会儿	让我们休息一会儿
看我为你做老啥子	看我为你做了什么
许多朋友为他送行	许多朋友为他送行
玛丽必须切上学	玛丽必须去上学
我可以切洗手间吗	我可以去洗手间吗
我们能私下见见吗	我们能私下见见吗
妈妈有一个咖啡厅	妈妈有一个咖啡厅
我的血压很低	我的血压很低
我父亲开车切上班	我父亲开车去上班
我爸爸给我老游戏	我爸爸给我了游戏
我门牙突出	我门牙突出
我丈夫没在城里	我丈夫没在城里
我的工作是洗盘子	我的工作是洗盘子
我母亲十分生气	我母亲十分生气
我的房间面向花园	我的房间面向花园
我的肩膀很痠	我的肩膀很痠
我们队总是输	我们队总是输
我的表被偷老	我的表被偷了
没人应该担心	没人应该担心
没人试图帮汤姆	没人试图帮汤姆
莫得多少改变	没有多少改变
请把酒递给我	请把酒递给我
人们应该在跳舞	人们应该在跳舞
请选择一个人	请选择一个人
请不要用我的名字	请不要用我的名字
请给我送一块毯子	请给我送一块毯子
请敲门	请敲门
请穿上你的鞋子	请穿上你的鞋子
请说大声一点儿	请说大声一点儿
请告诉我汤姆很好	请告诉我汤姆很好
请告诉我你的名字	请告诉我你的名字
请打开收音机	请打开收音机
请先等他	请先等他
请浇花	请浇花
骄傲使人落后	骄傲使人落后
把枪放在桌子上	把枪放在桌子上
她和我是同学	她和我是同学
她决定和他结婚	她决定和他结婚
她不喜欢她的丈夫	她不喜欢她的丈夫
她与丈夫离婚	她与丈夫离婚
她上夜校	她上夜校
她不得不待在这儿	她不得不待在这儿
她是个很棒的女人	她是个很棒的女人
她现在正在工作	她现在正在工作
她是他的一切	她是他的一切
她钱不够	她钱不够
她派他切工作老	她派他去工作了
她马上离开老这里	她马上离开了这里
她也喜欢巧克力	她也喜欢巧克力
她唱得比他好	她唱得比他好
她寄这本书给我	她寄这本书给我
她把照片给他看	她把照片给他看
她边走边谈	她边走边谈
她昨天切那里	她昨天去那里
她是Tom的姐姐	她是Tom的姐姐
她莫得玛丽年纪大	她没有玛丽年纪大
我该取消通话吗	我该取消通话吗
有人推我到里面	有人推我到里面
退到绳子后面	退到绳子后面
打的切旅馆吧	打的去旅馆吧
让她中午过来	让她中午过来
十年是很长的时间	十年是很长的时间
为一切感谢你	为一切感谢你
不言而喻	不言而喻
那家伙让我发疯	那家伙让我发疯
这房子非常小	这房子非常小
这个玩具是木制的	这个玩具是木制的
我完全看不懂	我完全看不懂
那不是我的本意	那不是我的本意
这不是我的初衷	这不是我的初衷
这违反规则	这违反规则
这毫无意义	这毫无意义
您真是太好老	您真是太好了
那是我经常说的	那是我经常说的
那是我必须做的	那是我必须做的
那是汤姆承诺的	那是汤姆承诺的
请开到希尔顿酒店	请开到希尔顿酒店
这孩子哭老一整夜	这孩子哭了一整夜
这个毯子还是湿的	这个毯子还是湿的
这小男孩能数到十	这小男孩能数到十
课程八点半开始	课程八点半开始
狗被车撞老	狗被车撞了
门被踢开老	门被踢开了
燃油表坏老	燃油表坏了
警察在跟着他	警察在跟着他
这可怜的女孩瞎老	这可怜的女孩瞎了
天空中繁星点点	天空中繁星点点
天空布满星辰	天空布满星辰
雪消失老	雪消失了
学生都笑老	学生都笑了
他们的牛都很肥	他们的牛都很肥
少一把刀	少一把刀
少老一把勺子	少了一把勺子
无解	无解
曾经有一个意外	曾经有一个意外
莫得必要着急	没有必要着急
莫得我可以做的事	没有我可以做的事
这些东西不是我的	这些东西不是我的
他们变得很紧张	他们变得很紧张
他们称他胆小鬼	他们称他胆小鬼
他们不需要理由	他们不需要理由
他们给我钱没给够	他们给我钱没给够
他们考试不及格	他们考试不及格
他们莫得东西吃老	他们没有东西吃了
他们一定很恨我	他们一定很恨我
他们卖体育产品	他们卖体育产品
他们出发切野餐老	他们出发去野餐了
这个价格含老税	这个价格含了税
这文章是胡说	这文章是胡说
这表不走老	这表不走了
这颗钻石不是真的	这颗钻石不是真的
这是鸟类庇护所	这是鸟类庇护所
这是棵很高的树	这是棵很高的树
这不是很流行	这不是很流行
这个真好吃	这个真好吃
这是你唯一的机会	这是你唯一的机会
这把刀很锋利	这把刀很锋利
这让我很生气	这让我很生气
这个人靠不住的	这个人靠不住的
这衬衫需要熨	这衬衫需要熨
这次不一样	这次不一样
这一次不一样	这一次不一样
这手表是防水的	这手表是防水的
汤姆在我走后到老	汤姆在我走后到了
汤姆能游得很好	汤姆能游得很好
汤姆做得很出色	汤姆做得很出色
汤姆不吃红肉	汤姆不吃红肉
汤姆莫得发烧	汤姆没有发烧
汤姆必须再做一遍	汤姆必须再做一遍
汤姆啥子都没做	汤姆什么都没做
汤姆恐高	汤姆恐高
汤姆对每个人都好	汤姆对每个人都好
Tom正在找工作	Tom正在找工作
汤姆知道玛丽会来	汤姆知道玛丽会来
汤姆知道不同之处	汤姆知道不同之处
汤姆失切老信誉	汤姆失去了信誉
汤姆说玛丽饿老	汤姆说玛丽饿了
汤姆说他需要钱	汤姆说他需要钱
汤姆看来准备好老	汤姆看来准备好了
汤姆看来感冒老	汤姆看来感冒了
汤姆认为我太年轻	汤姆认为我太年轻
汤姆后退一步	汤姆后退一步
汤姆想当老板	汤姆想当老板
汤姆想切日本	汤姆想去日本
汤姆昨天缺席老	汤姆昨天缺席了
汤姆在藏甚么	汤姆在藏甚么
明天是母亲节	明天是母亲节
很遗憾下雨老	很遗憾下雨了
那时婴儿正在哭吗	那时婴儿正在哭吗
洗你的脸和手	洗你的脸和手
我们买老一磅的茶	我们买了一磅的茶
我们没点火	我们没点火
我们做我们想做的	我们做我们想做的
我们对他期望很多	我们对他期望很多
我们切学校学习	我们去学校学习
我们上同一所学校	我们上同一所学校
我们午后吃老顿饭	我们午后吃了顿饭
我们喝老些鸡汤	我们喝了些鸡汤
我们必须重新开始	我们必须重新开始
我们点太多食物老	我们点太多食物了
我们必须遵纪守法	我们必须遵纪守法
我们推迟老会议	我们推迟了会议
我们急忙跑向火	我们急忙跑向火
我们应该进行测试	我们应该进行测试
我们明天回来	我们明天回来
我们就像兄弟一样	我们就像兄弟一样
我们准备切做	我们准备去做
我们有充足的时间	我们有充足的时间
欢迎来到你的新家	欢迎来到你的新家
他们在这里做甚么	他们在这里做甚么
你现在在读甚么	你现在在读甚么
你们切看啥老	你们去看啥了
你必须吃啥子	你必须吃什么
你计划卖甚么	你计划卖甚么
你认为我想要甚么	你认为我想要甚么
你想知道啥子	你想知道什么
这个词是啥子意思	这个词是什么意思
你父亲是做啥子的	你父亲是做什么的
汤姆究竟在做啥子	汤姆究竟在做什么
他说的话不是真的	他说的话不是真的
你还想要啥子	你还想要什么
你几点回家	你几点回家
你会用它来做啥子	你会用它来做什么
你说的东西是胡扯	你说的东西是胡扯
汤姆出啥子事老	汤姆出什么事了
你家的地址是啥子	你家的地址是什么
你电话号码是多少	你电话号码是多少
你啥子时候回家	你什么时候回家
她啥子时候结婚的	她什么时候结婚的
游戏几点开始	游戏几点开始
你在哪里打网球	你在哪里打网球
他想切哪里	他想去哪里
它从哪里离开的	它从哪里离开的
汤姆的教室在哪里	汤姆的教室在哪里
这家咖啡馆在哪里	这家咖啡馆在哪里
您昨天在哪儿	您昨天在哪儿
他会选哪个	他会选哪个
哪个在弹钢琴	谁在弹钢琴
你为甚么不听	你为甚么不听
借个火好吗	借个火好吗
你想听吗	你想听吗
你是我的一切	你是我的一切
你只是说说而已	你只是说说而已
你并不完全错误	你并不完全错误
你随时可以来	你随时可以来
你不能这样活	你不能这样活
你不需要着急	你不需要着急
您莫得任何钱	您没有任何钱
